Company Name,Product Name,Price,Quantity,Total Value,Date of Sale,Category,Region,Payment Method,Discount,Sales Representative,Sales Channel,Promotion,Product Category,Month of Sale,Revenue
"Young, Green and Gentry",Item Throw,284.63,77,21916.51,2025-02-26,Moda,Rio de Janeiro,Boleto,10,Dana Barnes,Loja Física,Liquidação de Verão,Saúde e Beleza,2,21916.51
Stanley-Fields,Be Message,318.6,29,9239.4,2025-01-18,Eletrônicos,Rio de Janeiro,Boleto,20,Teresa Pierce,Loja Física,Liquidação de Verão,Roupas,1,9239.400000000001
Calderon PLC,Serve Analysis,467.09,83,38768.47,2025-01-15,Eletrônicos,Rio de Janeiro,Dinheiro,20,Bradley Rich,Loja Física,Nenhuma,Saúde e Beleza,1,38768.47
Stephens LLC,Knowledge Poor,395.98,68,26926.64,2025-02-07,Eletrônicos,São Paulo,Pix,5,Mr. Michael Myers,Telemarketing,Nenhuma,Saúde e Beleza,2,26926.64
"Roberts, Ross and Blair",Give For,174.7,29,5066.3,2025-02-18,Acessórios,São Paulo,Boleto,20,Gabriella Sullivan,Telemarketing,Black Friday,Eletrônicos,2,5066.299999999999
"Kelly, Lewis and White",South Hear,221.51,83,18385.33,2025-01-20,Moda,Nordeste,Dinheiro,5,Ms. Amanda Bailey,Telemarketing,Black Friday,Roupas,1,18385.329999999998
"Shepherd, Craig and Ballard",Hold Body,310.29,12,3723.48,2025-02-09,Eletrônicos,Rio de Janeiro,Boleto,5,Bruce Williams,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,3723.4800000000005
"White, Kane and Gibson",Modern Institution,334.12,38,12696.56,2025-02-10,Alimentos,Nordeste,Cartão de Crédito,0,Kara Andrade,Loja Física,Black Friday,Casa e Decoração,2,12696.56
Bowman Inc,I Food,327.94,37,12133.78,2025-01-04,Moda,Nordeste,Boleto,10,Mary Harris,Telemarketing,Nenhuma,Roupas,1,12133.78
Clark-Lane,Rich Common,441.91,86,38004.26,2025-02-20,Acessórios,Rio de Janeiro,Dinheiro,5,Mark Barker,Online,Liquidação de Verão,Saúde e Beleza,2,38004.26
Kelly-Gutierrez,Out Option,203.8,55,11209.0,2025-02-05,Eletrônicos,São Paulo,Pix,5,Joshua Burke,Online,Liquidação de Verão,Saúde e Beleza,2,11209.0
Watson Inc,Animal Back,296.54,39,11565.06,2025-01-05,Moda,Nordeste,Cartão de Crédito,10,Christine Khan,Loja Física,Promoção de Natal,Eletrônicos,1,11565.060000000001
